"num","team","epa_rank","total_epa","norm_epa","unitless_epa","auto_epa","teleop_epa","endgame_epa","rp_1_epa","rp_2_epa","next_event_key","next_event_name","next_event_week","record","winrate"
"1678","Citrus Circuits","1","69.1","1981","2126","16.3","40.6","12.2","0.86","0.7","N/A","N/A","N/A","64-7-0","0.901"
"1323","MadTown Robotics","2","65.3","1945","2083","15.4","37.1","12.8","0.9","0.58","N/A","N/A","N/A","53-7-0","0.883"
"1690","Orbit","3","65","1941","2079","17.3","39.2","8.5","0.9","0.51","N/A","N/A","N/A","63-7-0","0.900"
"254","The Cheesy Poofs","4","64.9","1940","2078","14.3","35.2","15.3","0.79","0.67","N/A","N/A","N/A","50-5-1","0.902"
"27","Team RUSH","5","62.1","1914","2047","14","34.7","13.4","0.91","0.61","N/A","N/A","N/A","78-12-2","0.859"
"67","The HOT Team","6","59.2","1886","2014","13.5","31.8","13.9","0.77","0.63","N/A","N/A","N/A","49-17-1","0.739"
"2056","OP Robotics","7","58.1","1876","2001","17","31.6","9.5","0.87","0.4","N/A","N/A","N/A","47-12-0","0.797"
"1577","Steampunk","8","57.4","1869","1994","13.5","31.4","12.5","0.73","0.5","N/A","N/A","N/A","66-12-0","0.846"
"1771","North Gwinnett Robotics","9","56.9","1864","1988","15.3","36.1","5.4","1","0.23","N/A","N/A","N/A","62-7-0","0.899"
"624","CRyptonite","10","56.8","1864","1987","13","34.1","9.7","0.83","0.64","N/A","N/A","N/A","54-12-1","0.813"
"2910","Jack in the Bot","11","55.6","1852","1973","14.6","28.5","12.5","0.89","0.56","N/A","N/A","N/A","86-8-0","0.915"
"176","Aces High","12","54.5","1842","1961","15","26.8","12.7","0.84","0.54","N/A","N/A","N/A","65-6-0","0.915"
"148","Robowranglers","13","54","1837","1955","14.6","30.2","9.2","0.84","0.55","N/A","N/A","N/A","60-14-1","0.807"
"973","Greybots","14","53.5","1833","1950","12.6","32.4","8.6","0.81","0.34","N/A","N/A","N/A","61-16-0","0.792"
"111","WildStang","15","52.9","1827","1943","15.4","28.7","8.8","0.74","0.37","N/A","N/A","N/A","42-5-0","0.894"
"971","Spartan Robotics","16","52.7","1825","1941","16.1","28.2","8.5","0.6","0.51","N/A","N/A","N/A","40-12-0","0.769"
"4414","HighTide","17","51.8","1816","1931","12.5","32.6","6.7","0.81","0.38","N/A","N/A","N/A","68-8-1","0.890"
"5940","BREAD","18","51.8","1816","1930","13.3","30.5","8","0.64","0.49","N/A","N/A","N/A","49-12-0","0.803"
"4911","CyberKnights","19","51.7","1815","1929","11.4","30.5","9.8","0.61","0.43","N/A","N/A","N/A","52-17-0","0.754"
"2767","Stryke Force","20","51.3","1811","1925","14.5","24","12.8","0.63","0.58","N/A","N/A","N/A","63-11-0","0.851"
"3310","Black Hawk Robotics","21","51.3","1811","1925","11.3","28.2","11.8","0.83","0.64","N/A","N/A","N/A","65-7-0","0.903"
"118","Robonauts","22","50.9","1807","1920","9.8","29.2","11.9","0.8","0.65","N/A","N/A","N/A","65-15-0","0.813"
"179","Children of the Swamp","23","50.8","1807","1920","15.6","24.8","10.4","0.77","0.54","N/A","N/A","N/A","57-6-0","0.905"
"4206","Robo Vikes","24","50.6","1804","1917","11.8","29.3","9.4","0.87","0.38","N/A","N/A","N/A","67-20-0","0.770"
"1619","Up-A-Creek Robotics","25","50.5","1804","1916","11.6","26","12.9","0.79","0.38","N/A","N/A","N/A","55-3-1","0.941"
"2046","Bear Metal","26","50.3","1802","1913","13.8","27","9.5","0.61","0.45","N/A","N/A","N/A","68-17-0","0.800"
"7407","Wired Boars","27","50.3","1801","1913","14.6","23.1","12.6","0.81","0.44","N/A","N/A","N/A","42-10-0","0.808"
"125","NUTRONs","28","50.2","1801","1913","12.1","28","10.2","0.86","0.53","N/A","N/A","N/A","54-15-1","0.779"
"4499","The Highlanders","29","49.9","1798","1908","9","30.3","10.5","0.64","0.39","N/A","N/A","N/A","52-18-0","0.743"
"5895","Peddie Robotics","30","49.7","1796","1907","12.8","29.2","7.7","0.9","0.39","N/A","N/A","N/A","58-10-1","0.848"
